FILM,STARS,RATING,VOTES,YEAR,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Metacritic_user_vote_count,IMDB_user_vote_count,Rotten_Diff
The Lazarus Effect (2015),3.0,3.0,1651,2015),14,23,31,4.9,5.2,62,17691,-9
Big Eyes (2014),4.0,3.8,1501,2014),72,69,62,7.5,7.0,127,39152,3
Ricki and the Flash (2015),4.0,3.7,1462,2015),64,53,54,7.0,6.2,37,1769,11
Blackhat (2015),3.0,2.8,1430,2015),34,25,51,5.4,5.4,80,27328,9
Self/less (2015),4.0,3.8,1415,2015),20,51,34,8.4,6.6,77,5626,-31
Mr. Holmes (2015),4.0,4.0,1348,2015),87,78,67,7.9,7.4,33,7367,9
The Woman In Black 2 Angel of Death (2015),3.0,3.0,1333,2015),22,25,42,4.4,4.9,55,14873,-3
Still Alice (2015),4.5,4.1,1258,2015),88,85,72,7.8,7.5,153,57123,3
Seventh Son (2015),3.5,3.2,1213,2015),12,35,30,3.9,5.5,126,41177,-23
Mortdecai (2015),3.5,3.2,1196,2015),12,30,27,3.2,5.5,144,31878,-18
Strange Magic (2015),3.5,3.4,1117,2015),17,50,25,5.3,5.7,41,3658,-33
Inherent Vice (2014),3.0,2.9,1078,2014),73,52,81,7.4,6.7,286,44711,21
Hot Tub Time Machine 2 (2015),3.5,3.0,1021,2015),14,28,29,3.4,5.1,88,19560,-14
The Gunman (2015),3.5,3.4,996,2015),17,34,39,4.3,5.8,49,16663,-17
Sinister 2 (2015),3.5,3.3,973,2015),13,34,31,5.0,5.5,37,3200,-21
Hitman: Agent 47 (2015),4.0,3.9,917,2015),7,49,28,3.3,5.9,67,4260,-42
Shaun the Sheep Movie (2015),4.5,4.0,896,2015),99,82,81,8.8,7.4,62,12227,17
Love & Mercy (2015),4.5,4.0,864,2015),89,87,80,8.5,7.8,54,5367,2
Unfinished Business (2015),3.5,3.2,821,2015),11,27,32,3.8,5.4,39,14346,-16
The Loft (2015),4.0,3.6,811,2015),11,40,24,2.4,6.3,80,21319,-29
Little Boy (2015),4.5,4.3,811,2015),20,81,30,5.9,7.4,38,5927,-61
Far From The Madding Crowd (2015),4.5,4.0,804,2015),84,77,71,7.5,7.2,35,12129,7
Amy (2015),4.5,4.4,729,2015),97,91,85,8.8,8.0,60,5630,6
Monkey Kingdom (2015),4.5,4.2,701,2015),94,77,72,7.5,7.3,15,883,17
A Most Violent Year (2014),3.5,3.4,675,2014),90,69,79,7.0,7.1,133,32166,21
American Ultra (2015),4.0,3.7,638,2015),46,52,50,6.8,6.5,42,3017,-6
Me and Earl and The Dying Girl (2015),4.5,4.3,624,2015),81,89,74,8.4,8.2,41,5269,-8
True Story (2015),3.5,3.2,540,2015),45,41,50,5.7,6.3,37,16069,4
Danny Collins (2015),4.0,4.0,531,2015),77,75,58,7.1,7.1,33,11206,2
Cake (2015),3.5,3.4,482,2015),49,47,49,6.4,6.5,44,19627,2
Spare Parts (2015),4.5,4.5,450,2015),52,83,50,7.1,7.2,7,47377,-31
While We're Young (2015),3.0,2.9,449,2015),83,52,76,6.7,6.4,65,17647,31
The Water Diviner (2015),4.5,4.0,397,2015),63,62,50,6.8,7.2,34,39373,1
Child 44 (2015),4.0,3.7,308,2015),26,44,41,5.3,6.4,73,19220,-18
Mr. Turner (2014),3.5,3.2,290,2014),98,56,94,6.6,6.9,98,13296,42
I'll See You In My Dreams (2015),4.0,3.6,281,2015),94,70,75,6.9,6.9,14,1151,24
What We Do in the Shadows (2015),4.5,4.3,259,2015),96,86,75,8.3,7.6,69,39561,10
Irrational Man (2015),4.0,3.5,252,2015),42,53,53,7.6,6.9,17,2680,-11
Wild Tales (2014),4.5,4.1,235,2014),96,92,77,8.8,8.2,107,50285,4
Black Sea (2015),4.0,3.5,218,2015),82,60,62,6.6,6.4,37,16547,22
The Vatican Tapes (2015),3.0,2.9,210,2015),13,21,37,5.4,4.6,5,952,-8
